Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/15/2023,02/15/2023,Payment Thank You - Web,,Payment,2412.25,
02/14/2023,02/15/2023,OPENART AI,Entertainment,Sale,-2.00,
02/15/2023,02/15/2023,OPENART AI,Entertainment,Sale,-2.00,
02/15/2023,02/15/2023,OPENART AI,Entertainment,Sale,-2.00,
02/15/2023,02/15/2023,OPENART AI,Entertainment,Sale,-10.00,
02/13/2023,02/14/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-4.50,
02/13/2023,02/14/2023,OPENART AI,Entertainment,Sale,-10.00,
02/11/2023,02/13/2023,MERLAND TAP &amp; TABLE,Food & Drink,Sale,-40.18,
02/11/2023,02/13/2023,LUCY CRAWFORDS FOODCRT,Food & Drink,Sale,-25.00,
02/09/2023,02/12/2023,TST* Posto - Somerville,Food & Drink,Sale,-54.92,
02/10/2023,02/12/2023,LOON MOUNTAIN F&amp;B 2,Food & Drink,Sale,-19.53,
02/10/2023,02/12/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-9.25,
02/10/2023,02/12/2023,APPLE.COM/BILL,Shopping,Sale,-16.99,
02/10/2023,02/12/2023,TST* ELM STREET TAPROOM,Food & Drink,Sale,-54.95,
02/09/2023,02/10/2023,CVS/PHARMACY #08319,Health & Wellness,Sale,-13.27,
02/08/2023,02/10/2023,OMNI HOTELS,Travel,Sale,-129.00,
02/08/2023,02/10/2023,BIAO GE POOL HALL,Entertainment,Sale,-16.56,
02/09/2023,02/10/2023,WHOLEFDS FPD 10026,Groceries,Sale,-206.78,
02/09/2023,02/10/2023,CHIPOTLE 1036,Food & Drink,Sale,-9.42,
02/08/2023,02/10/2023,LOON MOUNTAIN ECOMM,Entertainment,Sale,-94.00,
02/09/2023,02/10/2023,CAMBRIDGE WINE &amp; SPIRITS,Food & Drink,Sale,-161.75,
02/08/2023,02/09/2023,TST* FELIPE'S TAQUERIA,Food & Drink,Sale,-17.14,
02/08/2023,02/09/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-24.00,
02/09/2023,02/09/2023,ICE CASTLES LLC,Entertainment,Sale,-191.70,
02/09/2023,02/09/2023,ICE CASTLES LLC,Entertainment,Sale,-127.80,
02/09/2023,02/09/2023,ICE CASTLES LLC,Entertainment,Sale,-31.95,
02/08/2023,02/09/2023,CHOESANG INC.,Food & Drink,Sale,-24.59,
02/07/2023,02/08/2023,TST* Daves Fresh Pasta,Food & Drink,Sale,-45.60,
02/06/2023,02/07/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-4.25,
02/07/2023,02/07/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
02/06/2023,02/07/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-12.60,
02/06/2023,02/07/2023,SQ *OCYC,Personal,Sale,-39.93,
02/05/2023,02/06/2023,APPLE.COM/BILL,Shopping,Sale,-28.13,
02/05/2023,02/06/2023,TITAN GAS STATION,Gas,Sale,-54.12,
02/05/2023,02/06/2023,WINTHROP CENTER CAFE,Food & Drink,Sale,-60.79,
02/04/2023,02/06/2023,AMAZIN BILLIARDS,Entertainment,Sale,-44.00,
02/04/2023,02/05/2023,SQ *LOS AMIGOS TAQUERIA,Food & Drink,Sale,-23.43,
02/03/2023,02/05/2023,SQ *LOS AMIGOS TAQUERIA,Food & Drink,Sale,-12.79,
02/03/2023,02/05/2023,TST* ROCK&amp;RYE,Food & Drink,Sale,-33.96,
02/03/2023,02/05/2023,TST* ROCK&amp;RYE,Food & Drink,Sale,-24.40,
02/03/2023,02/03/2023,TST* THE BURREN,Food & Drink,Sale,-27.00,
02/02/2023,02/03/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-10.99,
02/01/2023,02/02/2023,CHOESANG INC.,Food & Drink,Sale,-80.16,
01/31/2023,02/01/2023,TST* Daves Fresh Pasta,Food & Drink,Sale,-33.98,
01/31/2023,02/01/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-6.00,
01/30/2023,02/01/2023,PIZZERIA 260,Food & Drink,Sale,-9.90,
01/30/2023,02/01/2023,PIZZERIA 260,Food & Drink,Sale,-3.48,
01/31/2023,02/01/2023,DOWNTOWN WINE AND SPIRITS,Food & Drink,Sale,-77.97,
01/31/2023,02/01/2023,DEARHOLMESMYSTERYMAIL,Shopping,Sale,-59.99,
01/30/2023,01/31/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-4.25,
01/30/2023,01/31/2023,SQ *NINE BAR ESPRESSO,Groceries,Sale,-6.00,
01/30/2023,01/31/2023,MBTA DAVIS SQUARE,Travel,Sale,-30.00,
01/29/2023,01/30/2023,BFRESH 2420,Groceries,Sale,-42.41,
