"Date","Transaction","Name","Memo","Amount"
"2021-11-29","DEBIT","TARGET       00027706 VIRGINIA BEAC VA","24164071332091007440168; 05310; ; ; ;","-31.69"
"2021-11-29","DEBIT","NORFOLK MACARTHUR PARK NORFOLK      VA","24760621333300000310628; 09399; ; ; ;","-2.00"
"2021-11-29","DEBIT","SP * STATE AND LIBERTY STATEANDLIBER MI","24492161332000001913544; 05691; ; ; ;","-284.13"
"2021-12-01","DEBIT","PAYPAL *MEDIUM.COM     402-935-7733 CA","24492151334894101141223; 05815; ; ; ;","-5.00"
"2021-12-02","DEBIT","BSC DAVIS SQ           617-776-0086 MA","24690511335083011641134; 07997; ; ; ;","-49.99"
"2021-12-03","DEBIT","PAYPAL *YORKTESTLAB    35314369001  GB","74198811336147040530314; 08021; ; ; ;","-129.00"
"2021-12-03","DEBIT","FRGN TRANS FEE-PAYPAL *YORKTESTLAB  35","74198811336147040530314; ; ; ; ;","-1.29"
"2021-12-06","DEBIT","BC UBER CASH           800-592-8996 DE","24492151339715419286126; 04121; ; ; ;","-50.00"
"2021-12-06","DEBIT","STARBUCKS STORE 18276  VA BEACH     VA","24692161338100172249389; 05814; ; ; ;","-5.85"
"2021-12-06","DEBIT","SUNOCO 0759559800      PETERSBURG   VA","24022071339016000239270; 05541; ; ; ;","-6.93"
"2021-12-06","DEBIT","WAFFLE HOUSE 0436      RICHMOND     VA","24431061338207588500723; 05812; ; ; ;","-14.75"
"2021-12-06","DEBIT","STARBUCKS STORE 18276  VA BEACH     VA","24692161337100244364415; 05814; ; ; ;","-10.15"
"2021-12-06","DEBIT","BP#6592182MILLER MART  SUFFOLK      VA","24122541338744004606333; 05541; ; ; ;","-1.94"
"2021-12-06","DEBIT","BP#6592182MILLER MART  SUFFOLK      VA","24122541338744004606184; 05542; ; ; ;","-34.82"
"2021-12-06","DEBIT","PP*Bay Barber Co.      CHESAPEAKE   VA","24310331337004434367660; 07230; ; ; ;","-45.50"
"2021-12-06","DEBIT","APPLE.COM/BILL         866-712-7753 CA","24692161338100869236400; 05815; ; ; ;","-16.99"
"2021-12-07","DEBIT","SABAI                  RICHMOND     VA","24073141340900016102190; 05812; ; ; ;","-19.32"
"2021-12-07","DEBIT","SUNOCO 0267027100      BROOKFIELD   CT","24022071341016006964752; 05542; ; ; ;","-44.98"
"2021-12-07","DEBIT","ARLINGTON METER PARKIN ARLINGTON    VA","24755421340173404312059; 07523; ; ; ;","-3.00"
"2021-12-07","DEBIT","TST* NORTHSIDE SOCIAL  ARLINGTON    VA","24137461340200185853137; 05812; ; ; ;","-15.68"
"2021-12-07","DEBIT","TST* NORTHSIDE SOCIAL  ARLINGTON    VA","24137461340200185853210; 05812; ; ; ;","-5.40"
"2021-12-07","DEBIT","TST* NORTHSIDE SOCIAL  ARLINGTON    VA","24137461340200185853392; 05812; ; ; ;","-3.41"
"2021-12-07","DEBIT","SQ *BLANCHARD'S BROAD  Richmond     VA","24692161340100947745576; 05814; ; ; ;","-6.11"
"2021-12-08","DEBIT","CHICK-FIL-A #03293     BROOKFIELD   CT","24427331341710019879689; 05814; ; ; ;","-10.35"
"2021-12-08","DEBIT","EXXONMOBIL    48405344 ARLINGTON    VA","24164051341378013625770; 05542; ; ; ;","-26.05"
"2021-12-08","DEBIT","WHOLEFDS FPD 10026     CAMBRIDGE    MA","24137461342001659782556; 05411; ; ; ;","-185.77"
"2021-12-08","DEBIT","EZPASSVA AUTO REPLENIS 877-7627824  VA","24755421342133423407445; 04784; ; ; ;","-35.00"
"2021-12-08","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421341263419324188; 05812; ; ; ;","-5.00"
"2021-12-09","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421342263429535715; 05812; ; ; ;","-5.25"
"2021-12-10","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421343263439911053; 05812; ; ; ;","-5.00"
"2021-12-13","DEBIT","TST* FOUNDRY/SALOON/RO SOMERVILLE   MA","24137461346500766706651; 05813; ; ; ;","-91.18"
"2021-12-13","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421345283450131835; 05812; ; ; ;","-5.25"
"2021-12-13","DEBIT","TST* THE BURREN        SOMERVILLE   MA","24137461345501009319279; 05813; ; ; ;","-47.92"
"2021-12-13","DEBIT","DOWNTOWN WINE AND SPIR SOMERVILLE   MA","24453881345000017902346; 05921; ; ; ;","-19.98"
"2021-12-14","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692161348100482367176; 05411; ; ; ;","-44.81"
"2021-12-14","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421347173478092580; 05812; ; ; ;","-5.25"
"2021-12-14","DEBIT","TST* DakZen            978-376-4074 MA","24692161347100728814321; 05812; ; ; ;","-18.18"
"2021-12-15","DEBIT","CITY OF SOMERVILLE TRA SOMERVILLE   MA","24639231348900010700054; 09399; ; ; ;","-40.00"
"2021-12-16","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421349273491550164; 05812; ; ; ;","-5.25"
"2021-12-16","DEBIT","APPLE.COM/BILL         866-712-7753 CA","24692161349100820581032; 05815; ; ; ;","-106.24"
"2021-12-16","CREDIT","PAYMENT   THANK YOU","INTERNET; ; ; ; ;","1845.41"
"2022-01-03","DEBIT","WHOLEFDS FPD 10026     CAMBRIDGE    MA","24137462003001240205040; 05411; ; ; ;","-174.33"
"2022-01-03","DEBIT","SOMERVILLE THEATRE     SOMERVILLE   MA","24269792003000764090515; 07832; ; ; ;","-24.00"
"2022-01-03","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422002160021123099; 05812; ; ; ;","-5.00"
"2022-01-03","DEBIT","RACING MART - HAVERHIL HAVERHILL    MA","24055222002839000258635; 05542; ; ; ;","-50.76"
"2022-01-03","DEBIT","BSC DAVIS SQ           617-776-0086 MA","24690512001083033054754; 07997; ; ; ;","-49.99"
"2022-01-03","DEBIT","STOP & SHOP 0499       AMESBURY     MA","24692162001100290678174; 05411; ; ; ;","-26.96"
